Ticker,Company Name,Industry,Market Cap,1 Yr,3 Yr,5 Yr,Total Revenues,Gross Profit Margin,EBIT Margin,Net Income Margin,Net Debt/EBITDA,P/E,P/B,P/Revenue,ROIC,Dividend Yield
NYSE:OTIS,Otis Worldwide Corporation,Industrials,32622.86,-8.8,,,14298.0,29.5,15.2,8.7,2.6x,27.1,,2.34,46.0,1.2
NasdaqGS:PCAR,PACCAR Inc,Industrials,34418.56,17.0,38.1,69.6,23522.3,13.5,10.1,7.9,2.1x,18.6,3.01,1.46,11.0,1.4
NYSE:PKG,Packaging Corporation of America,Materials,11751.52,-2.6,25.8,23.8,7730.3,24.3,16.9,10.9,1.1x,14.49,3.29,1.56,20.0,3.2
NasdaqGS:PARA,Paramount Global,Communication Services,11069.19,-41.8,-55.4,-67.3,28586.0,37.9,14.0,15.9,3.0x,2.52,0.49,0.38,9.0,5.8
NYSE:PH,Parker-Hannifin Corporation,Industrials,37366.07,-6.9,48.4,58.8,15292.58,30.6,17.6,11.9,2.4x,20.97,4.27,2.45,14.0,1.4
NasdaqGS:PAYX,"Paychex, Inc.",Information Technology,41655.51,-13.2,47.7,96.5,4816.8,70.5,40.0,30.4,-0.2x,28.53,13.0,8.65,57.0,2.6
NYSE:PAYC,"Paycom Software, Inc.",Information Technology,17956.54,-25.3,17.2,286.3,1055.52,87.6,24.0,18.6,-0.8x,92.08,19.38,17.02,26.0,
NasdaqGS:PYPL,"PayPal Holdings, Inc.",Information Technology,81192.78,-62.2,-34.2,-3.3,25371.0,47.0,17.0,16.4,0.1x,20.23,3.83,3.3,15.0,
NYSE:PNR,Pentair plc,Industrials,7399.14,-37.4,2.8,1.1,3764.8,35.0,17.4,14.7,1.2x,13.55,3.07,1.98,18.0,1.8
NasdaqGS:PEP,"PepsiCo, Inc.",Consumer Staples,251832.02,6.8,43.8,74.3,79474.0,53.4,14.9,9.6,2.5x,32.91,15.57,3.14,18.0,2.4
NYSE:PKI,"PerkinElmer, Inc.",Health Care,17712.02,-30.1,45.4,94.3,3827.81,64.5,36.6,24.6,2.6x,17.35,2.48,3.21,11.0,0.2
NYSE:PFE,Pfizer Inc.,Health Care,287626.24,-10.4,54.2,79.1,81288.0,62.3,33.2,27.0,0.3x,13.04,3.73,3.53,19.0,3.1
NYSE:PCG,PG&E Corporation,Utilities,32320.0,33.9,49.6,-63.7,20642.0,29.4,15.3,-0.5,7.0x,,1.54,1.56,3.0,
NYSE:PM,Philip Morris International Inc.,Consumer Staples,156895.98,12.3,40.6,26.7,31405.0,68.1,41.6,29.0,1.7x,17.36,,5.02,63.0,4.8
NYSE:PSX,Phillips 66,Energy,49191.56,49.6,7.4,26.2,111476.0,8.4,0.4,1.2,5.9x,35.07,2.38,0.41,1.0,3.5
NYSE:PNW,Pinnacle West Capital Corporation,Utilities,8603.18,13.0,-3.8,8.7,3803.84,44.6,24.1,16.3,5.0x,13.9,1.45,2.26,4.0,4.4
NYSE:PXD,Pioneer Natural Resources Company,Energy,54265.17,39.1,78.5,58.0,17870.0,52.6,23.6,11.9,0.6x,26.51,2.43,2.98,14.0,3.1
NasdaqGS:POOL,Pool Corporation,Consumer Discretionary,11806.17,-46.0,46.1,144.8,5295.58,30.5,15.7,12.3,1.6x,18.93,11.34,2.28,33.0,1.0
NYSE:PPG,"PPG Industries, Inc.",Materials,29552.34,-25.7,-0.8,17.2,16802.0,39.0,10.8,8.6,2.6x,21.2,4.72,1.78,12.0,1.8
NYSE:PPL,PPL Corporation,Utilities,21515.22,0.4,-5.8,21.8,5783.0,47.6,25.6,-25.6,3.0x,,1.57,3.85,5.0,5.7
NasdaqGS:PFG,"Principal Financial Group, Inc.",Financials,20533.78,20.1,72.3,45.4,14262.7,49.6,14.6,12.0,1.0x,13.38,1.37,1.58,1.0,2.9
NYSE:PLD,"Prologis, Inc.",Real Estate,104058.65,-31.3,35.8,98.4,5163.7,75.8,39.2,56.9,4.9x,28.59,2.5,16.14,4.0,2.3
