Ticker,Company Name,Industry,Market Cap,1 Yr,3 Yr,5 Yr,Total Revenues,Gross Profit Margin,EBIT Margin,Net Income Margin,Net Debt/EBITDA,P/E,P/B,P/Revenue,ROIC,Dividend Yield
NasdaqGS:TSCO,Tractor Supply Company,Consumer Discretionary,24850.92,-4.0,151.0,223.0,12731.11,35.2,10.3,7.8,1.9x,26.13,12.71,2.03,25.0,0.9
NYSE:TT,Trane Technologies plc,Industrials,38712.35,-15.3,71.2,165.1,14136.4,31.6,14.3,10.1,1.4x,28.2,6.32,2.84,17.0,1.4
NYSE:TDG,TransDigm Group Incorporated,Industrials,34236.96,1.8,15.6,164.1,4884.0,54.4,38.9,16.2,7.1x,50.24,,7.67,14.0,
NasdaqGS:TRMB,Trimble Inc.,Information Technology,12469.34,-42.0,21.3,24.4,3659.1,58.0,16.2,13.5,1.5x,26.06,3.22,3.47,11.0,
NYSE:TFC,Truist Financial Corporation,Financials,57090.75,-23.5,-14.3,3.4,23109.0,,,27.9,,9.63,0.91,2.49,,4.4
NYSE:TYL,"Tyler Technologies, Inc.",Information Technology,13425.12,-40.1,7.5,82.1,1592.29,44.6,12.9,10.1,3.5x,84.4,5.73,8.27,6.0,
NYSE:TSN,"Tyson Foods, Inc.",Consumer Staples,22274.68,-26.9,-26.5,-14.1,49522.0,14.8,10.4,7.5,1.0x,6.15,1.23,0.46,18.0,2.9
NYSE:USB,U.S. Bancorp,Financials,66733.85,-19.1,-17.4,-3.3,23762.0,,,33.5,,8.55,1.33,2.73,,4.0
NYSE:UDR,"UDR, Inc.",Real Estate,12608.23,-33.4,-8.3,18.5,1356.41,67.0,14.8,11.1,6.9x,80.69,3.63,8.91,2.0,3.8
NasdaqGS:ULTA,"Ulta Beauty, Inc.",Consumer Discretionary,23866.64,13.8,85.3,109.7,8630.89,43.5,15.0,11.4,0.9x,26.09,15.98,2.96,42.0,
NYSE:UNP,Union Pacific Corporation,Industrials,133120.27,-15.9,21.9,71.6,21804.0,58.2,42.7,29.9,2.6x,20.81,9.34,6.21,16.0,2.1
NasdaqGS:UAL,"United Airlines Holdings, Inc.",Industrials,12325.18,-13.9,-57.2,-44.1,24634.0,13.3,-17.6,-8.0,-11.2x,,2.43,0.49,-12.0,
NYSE:UPS,"United Parcel Service, Inc.",Industrials,150357.37,-16.2,61.9,70.0,97287.0,24.3,13.4,13.2,0.9x,11.84,10.61,1.56,29.0,2.4
NYSE:URI,"United Rentals, Inc.",Industrials,24633.62,7.0,113.1,106.7,9716.0,40.0,23.9,14.3,3.9x,18.67,4.3,2.65,12.0,
NYSE:UNH,UnitedHealth Group Incorporated,Health Care,495373.19,6.9,88.3,158.7,287597.0,24.2,8.3,6.0,0.9x,29.32,6.95,1.74,21.0,1.1
NYSE:UHS,"Universal Health Services, Inc.",Health Care,10060.44,9.4,-0.4,27.0,12642.12,40.0,11.0,7.8,2.3x,11.92,1.78,0.92,13.0,0.6
NYSE:VFC,V.F. Corporation,Consumer Discretionary,10728.31,-60.4,-69.3,-54.1,11599.85,55.0,13.7,12.0,2.7x,9.06,2.94,0.93,17.0,7.2
NYSE:VLO,Valero Energy Corporation,Energy,48907.48,75.0,57.8,73.2,108332.0,5.1,2.1,0.9,2.4x,55.89,2.82,0.48,6.0,3.1
NYSE:VTR,"Ventas, Inc.",Real Estate,18007.3,-8.5,-11.1,-4.9,3818.18,45.5,16.5,1.3,7.9x,,1.66,4.52,3.0,4.0
NasdaqGS:VRSN,"VeriSign, Inc.",Information Technology,21780.02,-19.1,6.6,79.5,1327.6,85.5,65.3,59.1,0.6x,29.35,,17.33,126.0,
NasdaqGS:VRSK,"Verisk Analytics, Inc.",Industrials,27589.96,-22.3,20.4,88.7,2462.5,65.3,42.6,27.1,2.7x,43.24,10.13,9.52,15.0,0.7
NYSE:VZ,Verizon Communications Inc.,Communication Services,165472.81,-20.0,-26.2,-6.5,133613.0,57.9,27.4,16.5,3.3x,7.41,2.02,1.22,11.0,6.5
NasdaqGS:VRTX,Vertex Pharmaceuticals Incorporated,Health Care,74127.36,31.5,31.9,92.7,7574.4,62.5,51.4,30.9,-1.6x,32.05,7.28,9.83,85.0,
NasdaqGS:VTRS,Viatris Inc.,Health Care,13497.18,-14.3,-41.0,-72.0,17886.3,43.3,15.5,-7.1,3.8x,,0.66,0.75,6.0,4.1
NYSE:VICI,VICI Properties Inc.,Real Estate,31204.37,13.0,48.3,104.7,1509.57,97.9,95.0,67.2,3.0x,18.41,1.68,12.12,9.0,4.3
NYSE:V,Visa Inc.,Information Technology,427923.74,-3.4,12.8,88.3,25477.0,97.1,66.5,51.6,0.3x,34.42,13.1,17.3,33.0,0.7
NYSE:VMC,Vulcan Materials Company,Materials,23273.32,-14.9,25.1,43.0,5552.2,24.9,17.2,12.1,3.1x,34.68,3.55,4.19,7.0,0.8
NYSE:WRB,W. R. Berkley Corporation,Financials,19265.6,33.9,65.2,151.8,9455.47,42.6,15.0,10.8,1.2x,19.86,2.89,2.13,15.0,0.5
NYSE:GWW,"W.W. Grainger, Inc.",Industrials,28106.9,8.7,72.1,156.0,13022.0,36.2,13.2,8.0,1.3x,28.04,15.2,2.22,35.0,1.2
NasdaqGS:WBA,"Walgreens Boots Alliance, Inc.",Consumer Staples,32216.81,-25.1,-28.1,-38.4,132184.0,20.9,1.6,-2.2,8.6x,5.43,1.23,0.24,3.0,5.2
NYSE:WMT,Walmart Inc.,Consumer Staples,382379.28,-0.5,25.2,57.3,572754.0,25.1,4.5,2.4,1.2x,29.11,4.7,0.69,19.0,1.6
NasdaqGS:WBD,"Warner Bros. Discovery, Inc.",Communication Services,23021.19,-59.7,-71.0,-57.6,12191.0,62.1,17.0,8.3,3.2x,6.88,0.54,0.45,8.0,
NYSE:WM,"Waste Management, Inc.",Industrials,64395.65,-4.5,44.9,99.0,17931.0,38.0,16.5,10.1,2.8x,36.57,9.16,3.68,12.0,1.5
NYSE:WAT,Waters Corporation,Health Care,20351.85,-8.1,46.6,77.3,2785.87,58.5,29.7,24.9,1.1x,30.67,56.6,7.57,43.0,
NYSE:WEC,"WEC Energy Group, Inc.",Utilities,29575.14,-0.5,10.9,63.9,8316.0,36.1,21.5,15.6,5.5x,22.81,2.71,3.56,5.0,2.9
NYSE:WFC,Wells Fargo & Company,Financials,157335.17,-11.9,-17.2,-21.4,82606.0,,,26.1,,8.34,0.95,2.02,,1.5
NYSE:WELL,Welltower Inc.,Real Estate,30973.78,-21.2,-10.6,26.9,4737.47,44.7,20.1,7.1,7.2x,83.99,1.66,5.87,3.0,3.8
NYSE:WST,"West Pharmaceutical Services, Inc.",Health Care,17423.66,-49.7,57.7,142.9,2831.6,41.6,27.1,23.4,-0.5x,27.15,7.48,6.18,38.0,0.3
NasdaqGS:WDC,Western Digital Corporation,Information Technology,10021.87,-51.6,-49.2,-56.8,15752.0,26.3,5.5,-0.6,3.2x,4.98,0.82,0.51,5.0,
NYSE:WAB,Westinghouse Air Brake Technologies Corporation,Industrials,18152.23,9.1,30.8,26.4,7822.0,31.0,12.3,7.1,2.6x,33.72,1.82,2.4,6.0,0.5
NYSE:WRK,WestRock Company,Materials,8948.85,-18.8,-11.8,-35.2,19296.8,18.2,7.8,4.5,3.0x,10.86,0.79,0.48,6.0,2.7
NYSE:WY,Weyerhaeuser Company,Real Estate,22813.43,-20.4,14.1,7.2,10201.0,40.2,34.7,25.6,0.8x,8.93,2.15,2.28,24.0,2.3
NYSE:WHR,Whirlpool Corporation,Consumer Discretionary,7706.51,-37.2,5.9,-0.9,21985.0,20.1,10.6,8.1,1.1x,4.99,1.72,0.4,26.0,3.9
NasdaqGS:WTW,Willis Towers Watson Public Limited Company,Financials,26472.76,4.5,26.3,74.4,8998.0,45.0,19.4,46.9,0.3x,14.71,2.25,3.48,11.0,1.3
NasdaqGS:WYNN,"Wynn Resorts, Limited",Consumer Discretionary,9270.61,-3.0,-40.1,-48.1,3763.66,54.1,-9.7,-20.1,28.6x,,,2.49,-4.0,
NasdaqGS:XEL,Xcel Energy Inc.,Utilities,38367.59,6.4,19.8,67.8,13431.0,38.8,16.0,11.9,5.6x,23.69,2.44,2.81,4.0,2.6
NYSE:XYL,Xylem Inc.,Industrials,19927.09,-6.6,45.4,72.1,5195.0,38.1,11.2,8.2,1.7x,47.05,6.2,3.84,10.0,1.0
NYSE:YUM,"Yum! Brands, Inc.",Consumer Discretionary,36078.58,-6.0,34.3,71.5,6584.0,48.1,32.8,23.9,5.0x,24.58,,5.78,51.0,1.6
NasdaqGS:ZBRA,Zebra Technologies Corporation,Information Technology,13238.4,-56.9,0.4,147.0,5627.0,46.7,18.0,14.9,0.7x,16.52,4.59,2.44,24.0,
NYSE:ZBH,"Zimmer Biomet Holdings, Inc.",Health Care,26756.18,4.3,-10.2,13.2,6827.3,71.3,18.7,5.9,3.1x,66.75,2.1,3.39,6.0,0.8
NasdaqGS:ZION,"Zions Bancorporation, National Association",Financials,7355.21,-20.0,3.5,10.9,3187.0,,,35.4,,7.24,1.06,2.47,,3.0
NYSE:ZTS,Zoetis Inc.,Health Care,68302.85,-39.5,12.8,109.8,7776.0,70.5,36.1,26.2,1.0x,34.32,15.24,8.94,32.0,0.7
